================ Training Loss (Wed Mar  4 15:35:10 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.325, data: 0.186) , G_GAN: 0.812, G_L1: 13.229, G_delta_bg: 0.000, D_real: 0.079, D_fake: 0.059

[Rank 0] (epoch: 1, iters: 200, time: 0.307, data: 0.003) , G_GAN: 0.921, G_L1: 12.888, G_delta_bg: 0.000, D_real: 0.041, D_fake: 0.046

[Rank 0] (epoch: 2, iters: 60, time: 0.305, data: 0.003) , G_GAN: 0.977, G_L1: 12.841, G_delta_bg: 0.000, D_real: 0.096, D_fake: 0.076

[Rank 0] (epoch: 2, iters: 160, time: 0.690, data: 0.004) , G_GAN: 0.973, G_L1: 12.449, G_delta_bg: 0.000, D_real: 0.018, D_fake: 0.012

[Rank 0] (epoch: 3, iters: 20, time: 0.314, data: 0.003) , G_GAN: 1.007, G_L1: 13.040, G_delta_bg: 0.000, D_real: 0.017, D_fake: 0.014

[Rank 0] (epoch: 3, iters: 120, time: 0.311, data: 0.004) , G_GAN: 1.044, G_L1: 12.717, G_delta_bg: 0.000, D_real: 0.045, D_fake: 0.040

[Rank 0] (epoch: 3, iters: 220, time: 0.328, data: 0.003) , G_GAN: 0.976, G_L1: 12.312, G_delta_bg: 0.000, D_real: 0.009, D_fake: 0.009

[Rank 0] (epoch: 4, iters: 80, time: 0.670, data: 0.003) , G_GAN: 0.977, G_L1: 13.035, G_delta_bg: 0.000, D_real: 0.009, D_fake: 0.004

[Rank 0] (epoch: 4, iters: 180, time: 0.308, data: 0.003) , G_GAN: 1.008, G_L1: 12.546, G_delta_bg: 0.000, D_real: 0.015, D_fake: 0.008

[Rank 0] (epoch: 5, iters: 40, time: 0.305, data: 0.004) , G_GAN: 0.960, G_L1: 12.816, G_delta_bg: 0.000, D_real: 0.012, D_fake: 0.014

[Rank 0] (epoch: 5, iters: 140, time: 0.306, data: 0.004) , G_GAN: 1.044, G_L1: 12.494, G_delta_bg: 0.000, D_real: 0.028, D_fake: 0.023

[Rank 0] (epoch: 5, iters: 240, time: 0.694, data: 0.004) , G_GAN: 1.012, G_L1: 12.441, G_delta_bg: 0.000, D_real: 0.008, D_fake: 0.004

[Rank 0] (epoch: 6, iters: 100, time: 0.324, data: 0.219) , G_GAN: 1.006, G_L1: 12.424, G_delta_bg: 0.000, D_real: 0.007, D_fake: 0.009

================ Training Loss (Wed Mar  4 16:22:33 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.305, data: 0.198) , G_GAN: 0.937, G_L1: 42.743, G_delta_bg: 0.000, D_real: 0.065, D_fake: 0.063

[Rank 0] (epoch: 1, iters: 200, time: 0.307, data: 0.003) , G_GAN: 1.028, G_L1: 42.012, G_delta_bg: 0.000, D_real: 0.066, D_fake: 0.069

[Rank 0] (epoch: 2, iters: 60, time: 0.305, data: 0.003) , G_GAN: 0.981, G_L1: 40.024, G_delta_bg: 0.000, D_real: 0.020, D_fake: 0.022

[Rank 0] (epoch: 2, iters: 160, time: 0.701, data: 0.003) , G_GAN: 1.010, G_L1: 40.180, G_delta_bg: 0.000, D_real: 0.013, D_fake: 0.009

================ Training Loss (Wed Mar  4 16:24:49 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.307, data: 0.213) , G_GAN: 0.960, G_L1: 18.071, G_delta_bg: 0.000, D_real: 0.059, D_fake: 0.047

================ Training Loss (Wed Mar  4 16:25:33 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.306, data: 0.196) , G_GAN: 0.535, G_L1: 7.809, G_delta_bg: 0.000, D_real: 0.157, D_fake: 0.125

[Rank 0] (epoch: 1, iters: 200, time: 0.307, data: 0.003) , G_GAN: 0.975, G_L1: 9.030, G_delta_bg: 0.000, D_real: 0.033, D_fake: 0.025

[Rank 0] (epoch: 2, iters: 60, time: 0.308, data: 0.004) , G_GAN: 0.869, G_L1: 7.756, G_delta_bg: 0.000, D_real: 0.041, D_fake: 0.020

================ Training Loss (Wed Mar  4 16:27:26 2026) ================
